outlet_id,decayed_transit_score,decayed_schools_score,decayed_hospitals_score,decayed_worship_score,decayed_financial_score,decayed_industrial_score,decayed_markets_score,decayed_tourism_score,decayed_offices_score,decayed_competitors_score,internal_network_saturation
OUT_00001,1.6062406447398512,0.9397212120092017,7.244604547292413,3.162410903403885,0.07021040396364116,0.36645118998012394,0.07600682471061886,2.6873347847897353,1.6877006521634057,0.6982873892127791,1.4861300692135204
OUT_00002,0.0,0.21952596968594443,0.6064617233518936,0.49336968516792873,0.34033408187862113,0.0,0.0,0.2802072953964224,0.0,0.0008707375551195714,2.052684292835511
OUT_00003,0.18585025116672516,0.0,0.4859296996947212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.601014211932264
OUT_00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8739697544166825
OUT_00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2978747312996175
OUT_00006,0.0,0.0,0.34689094998099484,0.5994540156802435,0.0,2.6923788677311333,0.0,0.13909965028780466,0.0,0.0,1.1030673661643116
OUT_00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0655232667557026
OUT_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5998599117750363
OUT_00009,0.0,0.0,0.26817378828514327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2192793308894285
OUT_00010,1.3459111898667486,7.3290358063025725,23.23411465951289,3.887690383044801,17.47571966120729,0.08498242004781544,0.4620594767645489,21.089000568296257,17.44240627068761,1.2477955571499006,1.697562925259604
OUT_00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1454039928261
OUT_00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3540110554565636
OUT_00013,0.0,0.0,0.0,0.15167598764272902,0.0,0.0,0.0,0.0,0.0,0.023258502252301513,0.5917679588223417
OUT_00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6515885552281533
OUT_00015,0.0,0.0,0.0,0.1180841341982296,0.0,0.16843305625806806,0.0,0.0,0.0,0.0,1.193694914196465
OUT_00016,0.0,0.0,0.5059325725874885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3134242302026715
OUT_00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1560442698093194
OUT_00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4620081262504812
